start_ip,end_ip,join_key,size,domain
104.237.4.68,104.237.4.68,104.237.0.0,1,plsfollow.me
111.119.225.6,111.119.225.6,111.119.0.0,1,mysipl.com
106.75.156.133,106.75.156.133,106.75.0.0,1,caomuxin.cn
104.248.50.106,104.248.50.106,104.248.0.0,1,keyclerk.com
111.188.1.27,111.188.1.29,111.188.0.0,3,bbtec.net
107.191.57.82,107.191.57.84,107.191.0.0,3,vultr.com
103.48.17.253,103.48.17.253,103.48.0.0,1,bforest.gov.bd
1.114.189.152,1.114.189.157,1.114.0.0,6,bbtec.net
111.190.202.35,111.190.202.35,111.190.0.0,1,bbtec.net
103.14.178.2,103.14.178.2,103.14.0.0,1,daybreakplasma.com
106.39.4.65,106.39.4.65,106.39.0.0,1,tkamc.com.cn
104.36.254.79,104.36.254.79,104.36.0.0,1,
109.200.215.33,109.200.215.35,109.200.0.0,3,i3d.net
109.248.196.33,109.248.196.33,109.248.0.0,1,33.com
104.236.18.123,104.236.18.123,104.236.0.0,1,bee.software
108.62.60.29,108.62.60.29,108.62.0.0,1,restorta.com
102.141.145.210,102.141.145.210,102.141.0.0,1,102-141-145-210.in-addr.arpa
100.40.64.1,100.40.64.1,100.40.0.0,1,verizon-gni.net
1.114.249.89,1.114.249.92,1.114.0.0,4,bbtec.net
108.174.159.88,108.174.159.97,108.174.0.0,10,worldwidewebhosted.com
100.1.31.2,100.1.31.254,100.1.0.0,253,verizon.net
1.112.29.129,1.112.29.133,1.112.0.0,5,bbtec.net
106.39.12.29,106.39.12.29,106.39.0.0,1,bhmc.com.cn
101.0.64.2,101.0.64.21,101.0.0.0,20,digitalpacific.com.au
110.232.113.93,110.232.113.94,110.232.0.0,2,bnr.la
109.71.40.145,109.71.40.145,109.71.0.0,1,wayacross.net
104.219.72.61,104.219.72.61,104.219.0.0,1,plesk-server.com
109.254.33.54,109.254.33.54,109.254.0.0,1,dec.net.ua
108.170.4.112,108.170.4.112,108.170.0.0,1,securedservers.com
108.92.23.42,108.92.23.67,108.92.0.0,26,sbcglobal.net
1.113.168.215,1.113.168.215,1.113.0.0,1,bbtec.net
109.123.98.176,109.123.98.176,109.123.0.0,1,themodeltreeshop.co.uk
104.248.162.64,104.248.162.64,104.248.0.0,1,onlinepsychics.com
107.138.12.153,107.138.12.153,107.138.0.0,1,thermpro.com
103.90.241.104,103.90.241.104,103.90.0.0,1,cinfoways.in
103.24.67.3,103.24.67.3,103.24.0.0,1,dtsonline.com.au
111.191.242.159,111.191.242.165,111.191.0.0,7,bbtec.net
103.12.10.86,103.12.10.86,103.12.0.0,1,as45671.net.au
109.134.255.237,109.134.255.255,109.134.0.0,30,belgacom.be
107.161.38.107,107.161.38.107,107.161.0.0,1,openmedia.org
109.123.120.250,109.123.120.250,109.123.0.0,1,garlicbreadz.com
108.178.49.72,108.178.49.72,108.178.0.0,1,windowsvm1.com
102.141.191.8,102.141.191.8,102.141.0.0,1,102-141-191-8.in-addr.arpa
104.237.99.1,104.237.99.2,104.237.0.0,2,104.in-addr.arpa
103.150.186.115,103.150.186.115,103.150.0.0,1,axepert.in
108.179.221.60,108.179.221.60,108.179.0.0,1,go-sewell.com
107.190.53.217,107.190.53.217,107.190.0.0,1,teksavvy.com
108.12.13.2,108.12.13.254,108.12.0.0,253,verizon.net
109.233.142.30,109.233.142.30,109.233.0.0,1,subitec.de
104.206.2.62,104.206.2.120,104.206.0.0,59,bravedrivesrc.com
103.206.104.178,103.206.104.178,103.206.0.0,1,103-178.in-addr.arpa
1.115.195.189,1.115.195.190,1.115.0.0,2,bbtec.net
101.99.81.101,101.99.81.102,101.99.0.0,2,kamon.la
107.34.222.218,107.34.222.251,107.34.0.0,34,spcsdns.net
111.188.115.118,111.188.115.118,111.188.0.0,1,bbtec.net
109.74.13.33,109.74.13.33,109.74.0.0,1,telldus.com
108.198.38.1,108.198.38.18,108.198.0.0,18,sbcglobal.net
103.102.1.203,103.102.1.203,103.102.0.0,1,colo.co.id
103.197.150.149,103.197.150.149,103.197.0.0,1,joltopen.com
111.190.107.167,111.190.107.168,111.190.0.0,2,bbtec.net
110.37.218.151,110.37.219.73,110.37.0.0,179,wateen.net
113.11.237.68,113.11.237.69,113.11.0.0,2,hasil.gov.my
103.239.87.30,103.239.87.30,103.239.0.0,1,103-gazonindia.com
102.67.139.159,102.67.139.159,102.67.0.0,1,shopkeeper.co.za
111.188.198.186,111.188.198.187,111.188.0.0,2,bbtec.net
104.207.128.191,104.207.128.191,104.207.0.0,1,hkcradio.com
109.74.10.251,109.74.10.253,109.74.0.0,3,glesys.net
110.170.5.73,110.170.5.73,110.170.0.0,1,trueinternet.co.th
109.205.177.213,109.205.177.216,109.205.0.0,4,legendaryedu.net
1.113.70.53,1.113.70.59,1.113.0.0,7,bbtec.net
1.115.115.66,1.115.115.68,1.115.0.0,3,bbtec.net
109.133.180.249,109.133.181.2,109.133.0.0,10,belgacom.be
104.131.113.158,104.131.113.158,104.131.0.0,1,monbox.com
104.36.254.21,104.36.254.22,104.36.0.0,2,tekify.net
103.253.76.218,103.253.76.218,103.253.0.0,1,
103.70.72.1,103.70.72.3,103.70.0.0,3,as58511.net
100.36.67.1,100.36.67.1,100.36.0.0,1,verizon-gni.net
101.178.203.191,101.178.203.191,101.178.0.0,1,telstra.net
109.72.10.56,109.72.10.69,109.72.0.0,14,pb.cz
101.187.42.230,101.187.42.230,101.187.0.0,1,telstra.net
108.60.158.129,108.60.158.254,108.60.0.0,126,atlanticmetro.net
107.175.94.114,107.175.94.114,107.175.0.0,1,arl.dk
109.237.210.66,109.237.210.66,109.237.0.0,1,hqinternet.nl
107.149.55.81,107.149.55.81,107.149.0.0,1,livesciecne.com
1.114.214.123,1.114.214.128,1.114.0.0,6,bbtec.net
111.188.73.51,111.188.73.51,111.188.0.0,1,bbtec.net
109.128.68.63,109.128.68.65,109.128.0.0,3,belgacom.be
102.64.17.43,102.64.17.43,102.64.0.0,1,backspace.net.za
1.115.9.68,1.115.9.68,1.115.0.0,1,bbtec.net
107.50.241.211,107.50.241.223,107.50.0.0,13,spcsdns.net
104.152.168.218,104.152.168.218,104.152.0.0,1,telecomptable.com
109.74.53.161,109.74.53.161,109.74.0.0,1,bausysteme92.hu
111.191.121.134,111.191.121.135,111.191.0.0,2,bbtec.net
110.34.192.42,110.34.192.42,110.34.0.0,1,hontakanda.us
107.181.187.142,107.181.187.142,107.181.0.0,1,isplevel.pro
109.133.80.232,109.133.81.29,109.133.0.0,54,belgacom.be
109.237.143.1,109.237.143.4,109.237.0.0,4,alfahosting.de
104.206.242.183,104.206.242.183,104.206.0.0,1,ojqq.top
108.161.131.112,108.161.131.112,108.161.0.0,1,webgearstudios.com
109.144.126.51,109.144.126.51,109.144.0.0,1,bt.net
109.168.237.138,109.168.237.139,109.168.0.0,2,stavropol.ru
1.114.242.0,1.114.242.0,1.114.0.0,1,bbtec.net
111.190.73.63,111.190.73.72,111.190.0.0,10,bbtec.net
106.55.202.215,106.55.202.215,106.55.0.0,1,qq.com
1.112.141.172,1.112.141.172,1.112.0.0,1,bbtec.net
108.80.217.217,108.80.217.222,108.80.0.0,6,tridentmortgagegroup.net
108.179.217.162,108.179.217.162,108.179.0.0,1,direktwire.com
104.36.16.32,104.36.16.33,104.36.0.0,2,cloudsigma.net
110.143.86.34,110.143.86.35,110.143.0.0,2,telstra.net
109.168.237.195,109.168.237.197,109.168.0.0,3,stavropol.ru
101.53.143.103,101.53.143.103,101.53.0.0,1,maztechnosoft.com
108.14.114.2,108.14.114.254,108.14.0.0,253,verizon.net
104.144.62.5,104.144.62.5,104.144.0.0,1,metahouseweb.com
103.41.62.251,103.41.63.2,103.41.0.0,8,open.ad.jp
113.11.106.21,113.11.106.21,113.11.0.0,1,113-11-106-21-smile.com.bd
103.244.0.62,103.244.0.62,103.244.0.0,1,dekosapo.clinic
109.120.143.179,109.120.143.179,109.120.0.0,1,rostoksm.ru
104.225.217.187,104.225.217.187,104.225.0.0,1,gh0stshell.com
103.214.180.225,103.214.180.226,103.214.0.0,2,dartracer.com
104.223.200.98,104.223.200.110,104.223.0.0,13,rakuten-account-service5-co-jp.xyz
107.161.22.162,107.161.22.162,107.161.0.0,1,ramnode.com
103.138.115.12,103.138.115.12,103.138.0.0,1,helloocustomers.co.uk
103.244.47.9,103.244.47.9,103.244.0.0,1,inoru.co.jp
103.217.106.99,103.217.106.99,103.217.0.0,1,ratbaggy.net
109.168.125.72,109.168.125.72,109.168.0.0,1,trovagomme.it
1.114.187.146,1.114.187.152,1.114.0.0,7,bbtec.net
103.224.241.47,103.224.241.47,103.224.0.0,1,convergenceservices.co.in
103.19.27.61,103.19.27.62,103.19.0.0,2,youcloud.hk
107.175.124.181,107.175.124.181,107.175.0.0,1,soruarsivi.com
104.37.59.69,104.37.59.69,104.37.0.0,1,ciscours.net
104.130.244.179,104.130.244.179,104.130.0.0,1,bigvoodoo.com
101.187.126.94,101.187.126.94,101.187.0.0,1,telstra.net
112.74.213.128,112.74.213.128,112.74.0.0,1,haoyunqing.com
109.195.67.4,109.195.67.4,109.195.0.0,1,nastena05.ru
108.62.206.185,108.62.206.185,108.62.0.0,1,leaseweb.net
104.131.188.23,104.131.188.23,104.131.0.0,1,theslnk.com
110.55.145.1,110.55.145.255,110.55.0.0,255,bti.net.ph
111.188.190.238,111.188.190.239,111.188.0.0,2,bbtec.net
100.35.79.2,100.35.79.254,100.35.0.0,253,verizon.net
108.62.115.113,108.62.115.113,108.62.0.0,1,ubiquity.io
104.37.115.51,104.37.115.51,104.37.0.0,1,104-37-115-51-wavedirect.net
109.107.202.42,109.107.202.42,109.107.0.0,1,citypg.cz
104.207.155.214,104.207.155.214,104.207.0.0,1,danisagency.com
1.114.30.174,1.114.30.177,1.114.0.0,4,bbtec.net
109.168.232.40,109.168.232.40,109.168.0.0,1,stv.ru
107.53.204.200,107.53.204.221,107.53.0.0,22,spcsdns.net
104.153.97.214,104.153.98.99,104.153.0.0,142,16clouds.com
104.129.65.45,104.129.65.45,104.129.0.0,1,odysseyreports.net
109.128.0.63,109.128.0.98,109.128.0.0,36,belgacom.be
109.117.134.45,109.117.134.45,109.117.0.0,1,vodafonedsl.it
109.202.19.241,109.202.19.241,109.202.0.0,1,tehpt.ru
111.65.230.50,111.65.230.51,111.65.0.0,2,isx.net.nz
111.190.130.235,111.190.130.244,111.190.0.0,10,bbtec.net
109.170.223.232,109.170.223.232,109.170.0.0,1,paydens.com
109.130.27.62,109.130.27.63,109.130.0.0,2,belgacom.be
109.68.214.177,109.68.214.180,109.68.0.0,4,tmweb.ru
104.152.73.88,104.152.73.89,104.152.0.0,2,lmi.org
109.101.126.82,109.101.126.82,109.101.0.0,1,mgtstudios.ro
103.154.185.61,103.154.185.75,103.154.0.0,15,hostingraja.in
111.188.130.62,111.188.130.63,111.188.0.0,2,bbtec.net
108.9.81.2,108.9.81.6,108.9.0.0,5,ae35.net
110.143.88.230,110.143.88.231,110.143.0.0,2,telstra.net
